Sample	Clusters	Yield	Bases ≥ Q30 (PF)	Perfect index	One mismatch	Mean quality score
L1	212.607274	42946.669347999996	90.39688432045531	84.49056075099293	15.509439249007068	38.14629231200888
L1 - 10AIRCJFUNIFESP	14.498847	5857.534188	89.43732276855471	89.02301679574934	10.976983204250654	37.94804079152905
L1 - 11AIRCJFUNIFESP	13.786126999999999	5569.595308	90.47681117444665	87.04649246303912	12.953507536960887	38.16279661660474
L1 - 12AIRCJFUNIFESP	12.57111	5078.72844	90.99763203720339	73.57566674700962	26.42433325299039	38.26865457055231
L1 - 13AIRCJFUNIFESP	12.646155	5109.04662	90.25668342795431	88.6061099203671	11.3938900796329	38.11909798231593
L1 - 3CIECJFUNIFESP	12.814262	5176.961848	90.6581440968734	89.40732599349069	10.592674006509311	38.20039510092214
L1 - 4CIECJFUNIFESP	13.912561	5620.674644	90.74993400382988	87.33425858833611	12.665741411663891	38.21744730471185
L1 - 5CIECJFUNIFESP	12.451226	5030.295304	90.20750754715533	68.2200531899429	31.779946810057098	38.10808786664426
L1 - 6CIECJFUNIFESP	13.623349	5503.832996	90.47982189174695	90.67366621819643	9.326333781803578	38.16427753833685
